outcome,model,threshold,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,flag_rate
KL_progression,xgb,0.05,1246,5761,9053,94,0.9298507462686568,0.6111111111111112,0.1778221778221778,0.9897234065813928,0.298550377381095,0.4337625355948991
KL_progression,xgb,0.1,1026,3091,11723,314,0.7656716417910447,0.7913460240313217,0.2492105902356084,0.9739137658885104,0.3760307861462342,0.2548594775287854
KL_progression,xgb,0.15,778,1743,13071,562,0.5805970149253732,0.8823410287565816,0.3086076953589845,0.95877649820289,0.403004403004403,0.156060418472205
KL_progression,xgb,0.2,598,1028,13786,742,0.4462686567164179,0.9306061833400836,0.3677736777367774,0.9489262114537445,0.4032366824005394,0.1006561842268169
KL_progression,xgb,0.25,434,613,14201,906,0.3238805970149254,0.9586202241123262,0.4145176695319962,0.9400278016813398,0.3636363636363636,0.0648136684412529
KL_progression,xgb,0.3,303,377,14437,1037,0.2261194029850746,0.9745511003105172,0.4455882352941177,0.9329843608633838,0.3,0.0420948371920267
KL_progression,xgb,0.4,169,141,14673,1171,0.1261194029850746,0.990481976508708,0.5451612903225806,0.9260918959858622,0.2048484848484848,0.0191902934257768
KL_progression,xgb,0.5,92,50,14764,1248,0.0686567164179104,0.99662481436479,0.647887323943662,0.9220584561578816,0.1241565452091768,0.0087903924724526
KL_progression,lgb,0.05,1221,5342,9472,119,0.9111940298507464,0.6393951667341704,0.1860429681548072,0.987592534667918,0.3089965835758572,0.4062770830753993
KL_progression,lgb,0.1,1004,2921,11893,336,0.7492537313432835,0.8028216551910355,0.255796178343949,0.9725243274184316,0.3813865147198481,0.242973876439272
KL_progression,lgb,0.15,770,1745,13069,570,0.5746268656716418,0.8822060213311732,0.3061630218687873,0.9582080797712442,0.3994811932555123,0.1556889934381577
KL_progression,lgb,0.2,579,1085,13729,761,0.4320895522388059,0.9267584717159444,0.3479567307692308,0.9474810213940648,0.3854860186418109,0.103008542775783
KL_progression,lgb,0.25,445,690,14124,895,0.332089552238806,0.9534224382341028,0.3920704845814978,0.9404088155003664,0.3595959595959596,0.0702612356072799
KL_progression,lgb,0.3,340,440,14374,1000,0.2537313432835821,0.9702983664101524,0.4358974358974359,0.934955119032132,0.320754716981132,0.0482852544261483
KL_progression,lgb,0.4,190,177,14637,1150,0.1417910447761194,0.9880518428513568,0.5177111716621253,0.9271552543231772,0.2226127709431751,0.0227188312492261
KL_progression,lgb,0.5,112,69,14745,1228,0.0835820895522388,0.9953422438234104,0.6187845303867403,0.9231202654479436,0.1472715318869165,0.01120465519376
KL_progression,cat,0.05,1241,5509,9305,99,0.9261194029850748,0.6281220467125692,0.1838518518518518,0.9894725648660144,0.3067985166872682,0.4178531633032066
KL_progression,cat,0.1,1005,2926,11888,335,0.75,0.8024841366275145,0.255660137369626,0.9725926531947968,0.3813318155947638,0.2433453014733193
KL_progression,cat,0.15,752,1597,13217,588,0.5611940298507463,0.8921965708113946,0.3201362281822052,0.9574067366896052,0.4076985632962862,0.1454129008295159
KL_progression,cat,0.2,576,926,13888,764,0.4298507462686567,0.937491562035912,0.3834886817576564,0.947856947856948,0.4053483462350457,0.0929800668565061
KL_progression,cat,0.25,434,566,14248,906,0.3238805970149254,0.9617928986094236,0.434,0.9402138049359904,0.3709401709401709,0.0619041723412158
KL_progression,cat,0.3,315,354,14460,1025,0.2350746268656716,0.9761036857027136,0.4708520179372197,0.9338069099128188,0.313588850174216,0.0414138912962733
KL_progression,cat,0.4,178,157,14657,1162,0.1328358208955224,0.9894019171054408,0.5313432835820896,0.926544029331816,0.2125373134328358,0.0207378977343072
KL_progression,cat,0.5,89,77,14737,1251,0.0664179104477612,0.9948022141217768,0.536144578313253,0.9217538153615212,0.1181938911022576,0.0102760926086418
KL_progression,stack,0.05,1154,4162,10652,186,0.8611940298507462,0.7190495477251249,0.2170805116629044,0.9828381620225134,0.3467548076923077,0.3290825801659032
KL_progression,stack,0.1,792,1758,13056,548,0.591044776119403,0.8813284730660186,0.3105882352941176,0.9597177300793884,0.4071979434447301,0.1578556394701002
KL_progression,stack,0.15,618,1084,13730,722,0.4611940298507462,0.9268259754286484,0.36310223266745,0.9500415167450872,0.4063116370808678,0.1053609013247492
KL_progression,stack,0.2,520,762,14052,820,0.3880597014925373,0.9485621709194004,0.4056162246489859,0.944862829478214,0.3966437833714721,0.0793611489414386
KL_progression,stack,0.25,434,587,14227,906,0.3238805970149254,0.9603753206426352,0.4250734573947111,0.9401308398863412,0.3676408301567133,0.0632041599603813
KL_progression,stack,0.3,370,448,14366,970,0.2761194029850746,0.969758336708519,0.452322738386308,0.9367501304121022,0.3429101019462465,0.0506376129751145
KL_progression,stack,0.4,281,315,14499,1059,0.2097014925373134,0.9787363304981774,0.4714765100671141,0.9319321249517932,0.2902892561983471,0.0368948867153646
KL_progression,stack,0.5,224,215,14599,1116,0.1671641791044776,0.9854867017685972,0.510250569476082,0.9289850461342666,0.2518268690275436,0.0271759316577937
