outcome,model,threshold,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,flag_rate
TKR,xgb,0.05,529,13816,9473,6,0.988785046728972,0.4067585555412426,0.0368769606134541,0.9993670218377466,0.0711021505376344,0.6021239086635326
TKR,xgb,0.1,526,11898,11391,9,0.983177570093458,0.4891150328481257,0.042337411461687,0.9992105263157894,0.0811791033258739,0.5214909335124245
TKR,xgb,0.15,526,9940,13349,9,0.983177570093458,0.5731890592125037,0.0502579782151729,0.9993262464440784,0.0956276702117989,0.4393049026192075
TKR,xgb,0.2,515,8479,14810,20,0.9626168224299064,0.635922538537507,0.0572603958194351,0.9986513823331086,0.1080910903557561,0.3775184687709872
TKR,xgb,0.25,507,7214,16075,28,0.9476635514018692,0.690240027480785,0.0656650692915425,0.9982611935664162,0.1228197674418604,0.3240849563465413
TKR,xgb,0.3,490,6232,17057,45,0.9158878504672896,0.7324058568422861,0.0728949717346028,0.9973687288036488,0.1350420283863855,0.2821524513096037
TKR,xgb,0.4,468,4744,18545,67,0.874766355140187,0.7962986817810984,0.0897927858787413,0.9964001719320869,0.1628675830868279,0.2187709872397582
TKR,xgb,0.5,442,3702,19587,93,0.8261682242990654,0.841040834728842,0.1066602316602316,0.9952743902439024,0.1889292583885445,0.1739422431161853
TKR,lgb,0.05,259,665,22624,276,0.4841121495327102,0.9714457469191464,0.2803030303030303,0.9879475982532752,0.3550376970527759,0.0387844190732034
TKR,lgb,0.1,218,464,22825,317,0.4074766355140187,0.9800764309330584,0.3196480938416422,0.9863019618010544,0.3582580115036976,0.0286265950302216
TKR,lgb,0.15,190,387,22902,345,0.3551401869158878,0.9833827128687364,0.3292894280762565,0.9851593754032778,0.3417266187050359,0.0242192746809939
TKR,lgb,0.2,178,317,22972,357,0.3327102803738317,0.9863884237193524,0.3595959595959596,0.9846971580436368,0.345631067961165,0.0207773673606447
TKR,lgb,0.25,165,262,23027,370,0.308411214953271,0.988750053673408,0.3864168618266979,0.9841860067530024,0.343035343035343,0.0179231027535258
TKR,lgb,0.3,152,230,23059,383,0.2841121495327103,0.990124092919404,0.3979057591623036,0.9836618036003754,0.3315158124318429,0.0160342511752854
TKR,lgb,0.4,130,170,23119,405,0.2429906542056074,0.9927004165056464,0.4333333333333333,0.9827835402142492,0.311377245508982,0.0125923438549361
TKR,lgb,0.5,105,126,23163,430,0.1962616822429906,0.9945897204688908,0.4545454545454545,0.981774255075658,0.2741514360313316,0.0096961047683008
TKR,cat,0.05,517,8932,14357,18,0.966355140186916,0.6164712954613766,0.0547147846332945,0.9987478260869566,0.1035657051282051,0.3966168569509738
TKR,cat,0.1,497,6680,16609,38,0.9289719626168224,0.7131693073983426,0.0692489898286192,0.9977173064215774,0.1288900414937759,0.3012508394895903
TKR,cat,0.15,483,5392,17897,52,0.902803738317757,0.7684743870496801,0.0822127659574468,0.9971029026686724,0.1507020280811232,0.2466000671591672
TKR,cat,0.2,460,4490,18799,75,0.8598130841121495,0.8072051182961913,0.0929292929292929,0.9960262795379888,0.1677301731996353,0.2077736736064472
TKR,cat,0.25,445,3822,19467,90,0.8317757009345794,0.8358881875563571,0.1042887274431685,0.9953980671882192,0.1853394418992086,0.1791051040967092
TKR,cat,0.3,423,3299,19990,112,0.7906542056074767,0.8583451414831036,0.1136485760343901,0.9944284150830764,0.1987315010570824,0.1562290127602418
TKR,cat,0.4,407,2535,20754,128,0.7607476635514019,0.8911503284812572,0.1383412644459551,0.993870318934968,0.2341098648259994,0.1234889187374076
TKR,cat,0.5,368,1938,21351,167,0.6878504672897197,0.9167847481643694,0.1595836947094536,0.9922390556743192,0.2590637099612812,0.0967931497649429
TKR,stack,0.05,322,1230,22059,213,0.6018691588785047,0.94718536648203,0.2074742268041237,0.9904364224137931,0.3085769046478198,0.0651443922095366
TKR,stack,0.1,244,629,22660,291,0.4560747663551401,0.9729915410708918,0.279495990836197,0.9873208139078908,0.3465909090909091,0.0366437206178643
TKR,stack,0.15,197,375,22914,338,0.3682242990654205,0.9838979775859849,0.3444055944055944,0.9854636160330296,0.3559168925022583,0.0240094022834116
TKR,stack,0.2,165,262,23027,370,0.308411214953271,0.988750053673408,0.3864168618266979,0.9841860067530024,0.343035343035343,0.0179231027535258
TKR,stack,0.25,146,198,23091,389,0.2728971962616822,0.9914981321654,0.4244186046511627,0.9834327086882452,0.3321956769055745,0.0144392209536601
TKR,stack,0.3,125,165,23124,410,0.2336448598130841,0.9929151101378332,0.4310344827586206,0.9825783972125436,0.303030303030303,0.0121725990597716
TKR,stack,0.4,98,113,23176,437,0.1831775700934579,0.9951479239125768,0.4644549763033175,0.9814932452462628,0.2627345844504021,0.0088566151779717
TKR,stack,0.5,71,82,23207,464,0.1327102803738317,0.9964790244321352,0.4640522875816993,0.9803979553039583,0.2063953488372093,0.0064220953660174
