outcome,rank,feature,mean_abs_shap
TKR,15,SCFM,0.1128618601529646
TKR,14,SCTL,0.1153425873120064
TKR,13,KOOS_SYMP,0.1213055201157434
TKR,12,KL,0.1258296169482412
TKR,11,ATTM,0.1359911966197119
TKR,10,OSTL,0.1387537255707817
TKR,9,CYFM,0.1539172520107879
TKR,8,CYFL,0.1575649893385851
TKR,7,ATTL,0.1784955097136618
TKR,6,SCFL,0.1788567684014484
TKR,5,CYTL,0.2092743736009625
TKR,4,KOOS_PAIN,0.231356951668711
TKR,3,SCTM,0.2369957821067728
TKR,2,AGE,0.2599863107106818
TKR,1,WINDOW_MONTHS,0.5682832285347115
