outcome,model,threshold,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,flag_rate
WOMAC_pain,xgb,0.05,2788,12995,1190,62,0.9782456140350876,0.0838914346140289,0.1766457580941519,0.950479233226837,0.2992540116996726,0.9265042559436454
WOMAC_pain,xgb,0.1,2480,9428,4757,370,0.8701754385964913,0.3353542474444836,0.2082633523681558,0.9278330407645796,0.336088900935086,0.6990314059289697
WOMAC_pain,xgb,0.15,2055,6340,7845,795,0.7210526315789474,0.5530489954176947,0.2447885646217986,0.9079861111111112,0.3654957759004001,0.4928089228059876
WOMAC_pain,xgb,0.2,1603,4099,10086,1247,0.5624561403508772,0.711032781106803,0.2811294282707822,0.8899673519809406,0.3748830682881197,0.3347226298796595
WOMAC_pain,xgb,0.25,1246,2603,11582,1604,0.4371929824561403,0.8164962989072965,0.3237204468693167,0.8783558319429698,0.3719958202716823,0.2259465805694159
WOMAC_pain,xgb,0.3,915,1625,12560,1935,0.3210526315789473,0.8854423686993302,0.3602362204724409,0.8665056916177992,0.3395176252319109,0.1491047842676841
WOMAC_pain,xgb,0.4,472,682,13503,2378,0.1656140350877193,0.9519210433556574,0.4090121317157712,0.8502613185567659,0.2357642357642357,0.0677428823011447
WOMAC_pain,xgb,0.5,224,244,13941,2626,0.0785964912280701,0.9827987310539302,0.4786324786324786,0.8414921228949116,0.1350210970464135,0.0274728500146756
WOMAC_pain,lgb,0.05,2802,13084,1101,48,0.983157894736842,0.077617201268946,0.1763817197532418,0.95822454308094,0.2991033304867634,0.9325506310537128
WOMAC_pain,lgb,0.1,2515,9438,4747,335,0.8824561403508772,0.3346492774057102,0.2104074290972977,0.9340810704447068,0.3397959872998716,0.7016730261226886
WOMAC_pain,lgb,0.15,2061,6376,7809,789,0.7231578947368421,0.5505111032781107,0.2442811425862273,0.9082344731332868,0.3651989013909807,0.4952744349867919
WOMAC_pain,lgb,0.2,1608,4136,10049,1242,0.5642105263157895,0.7084243919633415,0.2799442896935933,0.890000885661146,0.3742145683034675,0.3371881420604637
WOMAC_pain,lgb,0.25,1253,2697,11488,1597,0.4396491228070175,0.809869580542827,0.3172151898734177,0.8779518532670997,0.3685294117647059,0.2318755503375403
WOMAC_pain,lgb,0.3,931,1714,12471,1919,0.3266666666666666,0.8791681353542474,0.351984877126654,0.8666435024322446,0.3388535031847133,0.1552685647196947
WOMAC_pain,lgb,0.4,440,657,13528,2410,0.1543859649122807,0.9536834684525908,0.4010938924339107,0.848789057598193,0.2229541423866227,0.0643968300557675
WOMAC_pain,lgb,0.5,185,185,14000,2665,0.0649122807017543,0.986958054282693,0.5,0.8400840084008401,0.1149068322981366,0.0217199882594658
WOMAC_pain,cat,0.05,2819,13384,801,31,0.9891228070175438,0.0564681001057455,0.1739801271369499,0.9627403846153846,0.2959114050280795,0.9511593777516876
WOMAC_pain,cat,0.1,2544,9773,4412,306,0.8926315789473684,0.3110327811068029,0.2065438012503044,0.9351420093259856,0.3354651546119865,0.7230407983563252
WOMAC_pain,cat,0.15,2088,6418,7767,762,0.7326315789473684,0.5475502291152626,0.2454737832118504,0.9106577558916638,0.3677351179992955,0.4993249192838274
WOMAC_pain,cat,0.2,1619,3958,10227,1231,0.5680701754385965,0.7209728586535072,0.290299444145598,0.8925641473206494,0.3842411297021478,0.3273847960082183
WOMAC_pain,cat,0.25,1201,2433,11752,1649,0.4214035087719298,0.8284807895664434,0.3304898183819482,0.8769494813819865,0.3704503392967304,0.2133255063105371
WOMAC_pain,cat,0.3,877,1499,12686,1973,0.307719298245614,0.8943249911878746,0.3691077441077441,0.8654069172522,0.3356295445847684,0.1394775462283534
WOMAC_pain,cat,0.4,402,552,13633,2448,0.1410526315789473,0.961085653859711,0.4213836477987421,0.847770661028543,0.2113564668769716,0.0560023481068388
WOMAC_pain,cat,0.5,169,190,13995,2681,0.059298245614035,0.9866055692633064,0.4707520891364902,0.8392300311825378,0.1053287628544717,0.0210742588787789
WOMAC_pain,stack,0.05,2850,14185,0,0,1.0,0.0,0.1673026122688582,0.0,0.2866482273070153,1.0
WOMAC_pain,stack,0.1,2584,10314,3871,266,0.9066666666666666,0.2728939020091646,0.2003411381609552,0.9357021996615904,0.3281686563373127,0.7571470501907837
WOMAC_pain,stack,0.15,1936,5598,8587,914,0.6792982456140351,0.6053577722946775,0.2569684098752323,0.9037996000421008,0.3728813559322034,0.442265923099501
WOMAC_pain,stack,0.2,1452,3314,10871,1398,0.5094736842105263,0.7663729291505111,0.3046579941250524,0.8860542831526612,0.3813025210084033,0.2797769298503081
WOMAC_pain,stack,0.25,1105,2160,12025,1745,0.387719298245614,0.847726471624956,0.33843797856049,0.8732752360203341,0.3614063777596075,0.1916642207220428
WOMAC_pain,stack,0.3,865,1439,12746,1985,0.3035087719298245,0.8985548114205146,0.3754340277777778,0.8652501527391215,0.3356616220411331,0.1352509539184032
WOMAC_pain,stack,0.4,517,751,13434,2333,0.1814035087719298,0.9470567500881212,0.4077287066246057,0.8520327265808334,0.2510927634774162,0.074434986791899
WOMAC_pain,stack,0.5,292,364,13821,2558,0.1024561403508771,0.97433909058865,0.4451219512195122,0.8438244093045973,0.1665715915573302,0.0385089521573231
