outcome,rank,feature,mean_abs_shap
WOMAC_pain,15,PHENO_INFL_SCORE,0.0501191910563409
WOMAC_pain,14,BMI,0.0502305782245286
WOMAC_pain,13,PHENO_METAB_SCORE,0.0547087701251875
WOMAC_pain,12,KOOS_SYMP,0.0559021135739333
WOMAC_pain,11,HEIGHT_BL,0.0565223179219404
WOMAC_pain,10,CESD,0.0617133725043205
WOMAC_pain,9,PHENO_PSY_SCORE,0.0684876278440062
WOMAC_pain,8,WEIGHT_BL,0.0754713571253428
WOMAC_pain,7,NSAIDS_BL,0.0798133801557847
WOMAC_pain,6,COHORT,0.0973658325929774
WOMAC_pain,5,RATE_WOMAC_PAIN_PER_YEAR,0.1100505793270282
WOMAC_pain,4,KOOS_PAIN,0.1174918826133866
WOMAC_pain,3,DELTA_WOMAC_PAIN_BL_TO_L,0.1336613230525996
WOMAC_pain,2,WOMAC_FUNC,0.1618545339933465
WOMAC_pain,1,WOMAC_PAIN,0.2735002897530147
