arm,aurc,aurc_sem,count
A5,0.26990951967208837,0.0038065203191840384,10
A6,0.2626557437927327,0.0040037932578727625,10
A4,0.26192197332941325,0.0029237599971710174,10
A2,0.24256748457639796,0.00264240666732083,10
A3,0.24256748457639796,0.00264240666732083,10
B4,0.2055055098963073,0.003933087523075181,10
B6,0.20167979441665357,0.0010280808023998605,8
B3,0.20105026042384577,0.003339013375552179,10
B1,0.20027193166575855,0.0008370077441047052,10
A7,0.1967730266324796,0.005698475715010921,10
B2,0.19027222527462978,0.0012084223900645217,10
A1,0.18582624500880002,0.003956352486519312,10
