arm,mae,mae_sem,count
B6,0.49627875507442487,0.0036492776333259492,8
A5,0.47307171853856567,0.009450230102658592,10
A6,0.4688317546233649,0.0102180990538927,10
A4,0.4680198466396031,0.004258583904279168,10
A2,0.45115020297699593,0.0034264728992919285,10
A3,0.45115020297699593,0.0034264728992919285,10
B4,0.442850699142986,0.001540369685745388,10
B1,0.44005412719891746,0.004483051240817458,10
B3,0.43473161930536763,0.0032987397320574383,10
A1,0.42841677943166434,0.003495706846563975,10
B2,0.4195760036084799,0.0030789777744508087,10
A7,0.4173207036535859,0.003340957910048089,10
