arm,sel_acc@90,sel_acc@90_sem,count
A5,0.6511278195488722,0.01010660239630477,10
A4,0.6600501253132831,0.003519734634575671,10
A6,0.6646616541353383,0.009744328814668017,10
B6,0.6652882205513785,0.0018386739148169766,8
B4,0.6746867167919799,0.0013071082516697072,10
B3,0.6784962406015037,0.003593829215573822,10
B1,0.6796992481203008,0.002334402565957955,10
A2,0.6820050125313284,0.002682940192035963,10
A3,0.6820050125313284,0.002682940192035963,10
A1,0.6828070175438596,0.0031050733447799124,10
B2,0.6898245614035088,0.002058327631670437,10
A7,0.6915288220551379,0.0016116498649005758,10
