arm,abst_auroc,abst_auroc_sem,count
A6,0.6448064236934977,0.005221427502206298,10
A5,0.6487552994302765,0.00518640037643838,10
A4,0.6494292580369697,0.005228350505242141,10
A2,0.6519974453126526,0.005923239372051424,10
A3,0.6519974453126526,0.005923239372051424,10
B6,0.711921063681167,0.0029570042798880134,8
B1,0.7167800222996913,0.003427545266283015,10
B3,0.7181090245754358,0.003331680123889098,10
B4,0.7217845711165489,0.005413899419943162,10
B2,0.7252044832500777,0.003400826922568841,10
A7,0.7272361930297538,0.0031145233876337516,10
A1,0.7398241998952957,0.008724075027879087,10
