arm,mean_score,QWK,Bal acc,Macro F1,Sel acc,Abst AUROC,MAE score,ECE score,Brier score,AURC score,raw_qwk,direction_qwk,raw_bacc,direction_bacc,raw_f1_macro,direction_f1_macro,raw_sel_acc@80,direction_sel_acc@80,raw_abst_auroc,direction_abst_auroc,raw_mae,direction_mae,raw_ece,direction_ece,raw_brier,direction_brier,raw_aurc,direction_aurc
A1,0.9739313562418962,0.9878790682835735,1.0,0.9820322206020875,1.0,1.0,1.0,0.7954709172914042,1.0,1.0,0.805682195489843,higher,0.6364296739192554,higher,0.6307793606660509,higher,0.70859375,higher,0.7398241998952957,higher,0.4290625,lower,0.1252010427601635,lower,0.4844871562910635,lower,0.19107846977311968,lower
B2,0.8742109248095356,0.8843272633765278,0.8648826961826099,0.9653758734322687,0.9436619718309852,0.8461370363565575,0.9664710813076274,0.8528829220797179,0.6952673788592979,0.8488920998602276,0.7998371161214,higher,0.6287912449639801,higher,0.6288291928974623,higher,0.70546875,higher,0.7252044832500777,higher,0.43218750000000006,lower,0.11776616882532834,lower,0.5247201984567822,lower,0.20262419411137195,lower
B1,0.862755569748358,0.8770360886190055,0.9677164270557426,1.0,0.9084507042253515,0.7574750902750726,0.8960603520536461,1.0,0.6951897282946805,0.6628717372117224,0.7994255588802185,higher,0.6346046243409244,higher,0.6328830742773048,higher,0.703515625,higher,0.7167800222996913,higher,0.43875000000000003,lower,0.09871445774100715,lower,0.5247304504554975,lower,0.21683748028935956,lower
A7,0.8460234780110726,1.0,0.7812545350516649,0.9411933233695243,0.880281690140844,0.8675194540566016,0.9530595138306793,0.8815682911657332,0.6408851179722876,0.6684493765123178,0.8063663729212802,higher,0.6240635916626505,higher,0.6259978380263236,higher,0.701953125,higher,0.7272361930297538,higher,0.4334375,lower,0.11405140387825663,lower,0.5319001445588569,lower,0.2164113087538984,lower
B3,0.8118094064389205,0.8485627640387247,0.8828203494328413,0.9093839426008268,0.901408450704225,0.7714619707186013,0.8826487845766968,0.7971412096768513,0.624629747282279,0.6882274389192385,0.7978183551988864,higher,0.6298052933952708,higher,0.622273514290668,higher,0.703125,higher,0.7181090245754358,higher,0.44000000000000006,lower,0.12498473933432246,lower,0.5340462981670344,lower,0.21490012332756508,lower
B4,0.7474874670999561,0.8311074479676128,0.7180549654754231,0.8674859033761596,0.7535211267605637,0.8101446960784017,0.7686504610226327,0.818025462646009,0.5008252823507962,0.6595718582220059,0.796833073407531,higher,0.6204908041027053,higher,0.6173679845949938,higher,0.694921875,higher,0.7217845711165489,higher,0.45062499999999994,lower,0.12228022154886271,lower,0.5503918742961904,lower,0.2170896146458665,lower
A2,0.5645191347651175,0.7569968082803685,0.6862612141799872,0.4314164345659833,0.8521126760563386,0.07568080317816138,0.7686504610226327,0.5222802969914299,0.6496215804723291,0.33765193813882743,0.792649828398843,higher,0.6186934450403894,higher,0.5663118548044184,higher,0.700390625,higher,0.6519974453126526,higher,0.45062499999999994,lower,0.16057931999675926,lower,0.5307466925167761,lower,0.2416865990049543,lower
A3,0.5645191347651175,0.7569968082803685,0.6862612141799872,0.4314164345659833,0.8521126760563386,0.07568080317816138,0.7686504610226327,0.5222802969914299,0.6496215804723291,0.33765193813882743,0.792649828398843,higher,0.6186934450403894,higher,0.5663118548044184,higher,0.700390625,higher,0.6519974453126526,higher,0.45062499999999994,lower,0.16057931999675926,lower,0.5307466925167761,lower,0.2416865990049543,lower
A6,0.40839336554889855,0.5606407066264035,0.6814816422302592,0.3193118995631234,0.46478873239436724,0.0,0.4903604358759428,0.512338521145509,0.5516678907643073,0.09495046134017397,0.781566322904412,higher,0.6184232470735622,higher,0.5531863688472494,higher,0.67890625,higher,0.6448064236934977,higher,0.4765625,lower,0.1618667833134532,lower,0.5436792591503001,lower,0.2602307277037981,lower
A4,0.3533052419429865,0.6403368057655295,0.43353485492267363,0.0,0.3098591549295775,0.04865231042298923,0.38642078792958945,0.6270476783069365,0.5951167779766768,0.13877880723290612,0.7860648444438642,higher,0.6044063605162536,higher,0.515800514175395,higher,0.6703125,higher,0.6494292580369697,higher,0.48624999999999996,lower,0.14701190887019033,lower,0.5379428174634034,lower,0.2568819286045387,lower
A5,0.2501345968466221,0.4309902679283493,0.34245867443265077,0.008122657611427667,0.0,0.041559336522381175,0.20871751886001647,0.6761339430440768,0.5432289732206966,0.0,0.7742480815176602,higher,0.5992576570227982,higher,0.5167515357233722,higher,0.653125,higher,0.6487552994302765,higher,0.5028125,lower,0.1406552210729569,lower,0.5447934271185806,lower,0.26748562206345433,lower
B6,0.18863819734428014,0.0,0.0,0.3641078815454131,0.24119718309859206,0.706337726165384,0.0,0.0,0.0,0.3861009852891319,0.7499204290414037,higher,0.5798978401757505,higher,0.5584311971000149,higher,0.66650390625,higher,0.711921063681167,higher,0.522265625,lower,0.22821479416452342,lower,0.6165145119942856,lower,0.23798474528101937,lower
