arm,brier,brier_sem,count
B6,0.6165145119942856,0.0030272834267520664,8
B4,0.5503918742961904,0.009534104362946159,10
A5,0.5447934271185806,0.0033177807274369455,10
A6,0.5436792591503001,0.003960432078163174,10
A4,0.5379428174634034,0.003341528939045382,10
B3,0.5340462981670344,0.006982546470402575,10
A7,0.5319001445588569,0.004258323926176479,10
A2,0.5307466925167761,0.0034511954064394335,10
A3,0.5307466925167761,0.0034511954064394335,10
B1,0.5247304504554975,0.004793439371442551,10
B2,0.5247201984567822,0.0025568980028103593,10
A1,0.4844871562910635,0.01073144903561302,10
