arm,f1_macro,f1_macro_sem,count
A4,0.515800514175395,0.0053329121681285315,10
A5,0.5167515357233722,0.012229859554802353,10
A6,0.5531863688472494,0.007612480828697194,10
B6,0.5584311971000149,0.00477721468762746,8
A2,0.5663118548044184,0.006922506178315026,10
A3,0.5663118548044184,0.006922506178315026,10
B4,0.6173679845949938,0.00685644866877178,10
B3,0.622273514290668,0.0019992548804419834,10
A7,0.6259978380263236,0.004143892224242219,10
B2,0.6288291928974623,0.00278730793090495,10
A1,0.6307793606660509,0.008790121253923793,10
B1,0.6328830742773048,0.0024734474610413008,10
