arm,mae,mae_sem,count
B6,0.522265625,0.005288400563927968,8
A5,0.5028125,0.00830333140974151,10
A4,0.48624999999999996,0.006566632296864365,10
A6,0.4765625,0.008208703460352317,10
A2,0.45062499999999994,0.004618708182790702,10
A3,0.45062499999999994,0.004618708182790702,10
B4,0.45062499999999994,0.008126335360350869,10
B3,0.44000000000000006,0.003891987852556129,10
B1,0.43875000000000003,0.005623070656777409,10
A7,0.4334375,0.003807430600520225,10
B2,0.43218750000000006,0.0029573061597038307,10
A1,0.4290625,0.010440597511104852,10
